,0,1,2,3,4,5
0,ARP,3,0.89,0.9,1.0,0.6666666666666666
1,CAF,2,0.58,0.61,1.0,1.0
2,CAR,2,-0.66,-0.23,1.0,0.5
3,CAU,1,0.39,0.87,1.0,1.0
4,CNA,28,0.29,0.74,1.0,0.9642857142857143
5,EAN,3,0.99,0.99,1.0,1.0
6,EAS,53,0.87,0.83,1.0,0.4716981132075472
7,EAU,2,0.3,0.8,1.0,1.0
8,ECA,15,0.78,0.96,1.0,0.8
9,EEU,3,0.99,0.91,1.0,1.0
10,ENA,93,0.51,0.7,1.0,0.978494623655914
11,ESAF,6,0.43,0.91,1.0,0.8333333333333334
12,ESB,7,0.85,0.69,1.0,1.0
13,GIC,10,0.92,-0.68,1.0,0.6
14,MDG,2,0.94,0.79,1.0,1.0
15,MED,60,0.97,0.82,1.0,0.8
16,NAU,4,0.24,0.14,1.0,0.75
17,NCA,22,-0.29,-0.0,1.0,0.9090909090909091
18,NEAF,12,0.9,0.95,1.0,1.0
19,NEN,17,0.95,0.12,1.0,1.0
20,NES,8,0.61,0.9,1.0,0.375
21,NEU,56,0.99,0.99,1.0,0.9107142857142857
22,NSA,4,0.2,0.69,1.0,0.5
23,NWN,48,-0.57,0.34,1.0,0.8958333333333334
24,NWS,11,-0.03,0.75,1.0,0.36363636363636365
25,NZ,9,0.97,0.99,1.0,1.0
26,RAR,4,0.83,0.94,1.0,1.0
27,RFE,7,0.94,0.93,1.0,0.8571428571428571
28,SAH,11,0.94,0.99,1.0,1.0
29,SAM,6,0.44,-0.2,1.0,0.8333333333333334
30,SAS,9,0.65,0.92,1.0,0.3333333333333333
31,SAU,16,0.9,0.77,1.0,1.0
32,SCA,15,-0.59,-0.05,1.0,0.6666666666666666
33,SEA,11,0.92,0.38,1.0,0.8181818181818182
34,SEAF,19,0.96,0.74,1.0,0.9473684210526315
35,SES,3,0.83,-0.38,1.0,0.6666666666666666
36,SSA,4,0.51,0.51,1.0,1.0
37,SWS,3,-0.28,0.07,1.0,1.0
38,TIB,24,0.98,0.98,1.0,0.75
39,WAF,3,-0.17,0.74,1.0,0.6666666666666666
40,WAN,1,0.91,0.87,1.0,1.0
41,WCA,13,0.45,0.91,1.0,0.7692307692307693
42,WCE,67,0.99,0.95,1.0,0.9701492537313433
43,WNA,91,-0.23,-0.29,1.0,0.8351648351648352
44,WSAF,8,-0.18,0.02,1.0,0.625
45,WSB,15,1.0,0.93,1.0,1.0
