,0,1,2,3,4
0,1.0,0.3396181818181819,0.31203636363636367,0.48,0.51
1,2.0,0.3734604651162791,0.3802325581395349,0.52,0.55
2,3.0,0.442548717948718,0.42705128205128207,0.66,0.61
3,4.0,0.46178823529411767,0.4517941176470588,0.62,0.59
4,5.0,0.49118,0.43126666666666674,0.7,0.59
5,6.0,0.4929,0.45903999999999995,0.71,0.6
6,7.0,0.5443285714285714,0.4762285714285714,0.79,0.63
7,8.0,0.5200692307692308,0.47423846153846155,0.73,0.65
8,9.0,0.5700416666666667,0.5034333333333333,0.81,0.66
9,10.0,0.563790909090909,0.4876454545454546,0.85,0.63
10,11.0,0.5426,0.5547428571428572,0.84,0.7
11,12.0,0.5353,0.5276111111111111,0.82,0.645
12,13.0,0.5178235294117647,0.5170823529411764,0.83,0.615
13,14.0,0.5058625000000001,0.4996124999999999,0.83,0.57
14,15.0,0.5070375,0.503725,0.79,0.59
15,16.0,0.5229384615384615,0.4724307692307693,0.715,0.525
16,17.0,0.51815,0.5178166666666666,0.84,0.62
17,18.0,0.48794545454545457,0.5521090909090909,0.725,0.65
18,19.0,0.4872545454545455,0.5527818181818183,0.75,0.64
19,20.0,0.44001999999999997,0.5696,0.55,0.71
20,21.0,0.44532000000000005,0.57438,0.52,0.72
21,22.0,0.5018,0.6432444444444445,0.735,0.78
22,23.0,0.5011555555555556,0.640488888888889,0.74,0.79
23,24.0,0.5091555555555556,0.6420666666666667,0.755,0.79
24,25.0,0.44685,0.600275,0.51,0.7
