"","V1","V2","V3"
"1","CNA","22","3"
"2","EAS","19","15"
"3","ECA","10","7"
"4","ENA","45","8"
"5","ESAF","6","1"
"6","ESB","6","5"
"7","GIC","10","5"
"8","MED","21","11"
"9","NCA","15","6"
"10","NEAF","8","8"
"11","NEN","34","18"
"12","NES","2","1"
"13","NEU","37","20"
"14","NWN","36","17"
"15","NWS","7","1"
"16","NZ","2","0"
"17","SAH","12","12"
"18","SAM","5","0"
"19","SAS","2","2"
"20","SAU","16","10"
"21","SCA","8","4"
"22","SEA","7","5"
"23","SEAF","15","8"
"24","TIB","8","8"
"25","WCA","9","5"
"26","WCE","55","21"
"27","WNA","72","26"
"28","WSAF","5","4"
